family,model,target,scope,dataset_scope,train_rows,test_rows,mae,rmse,wape,source_file
training_progression,hybrid_ridge_weight_policy_reps,next_set_weight_kg,next_set_progression,demo_workout_history,438,147,5.997,13.752,,ml\reports\progression_supervised_metrics.csv
training_progression,ridge,next_set_weight_kg,next_set_progression,demo_workout_history,438,147,5.997,13.752,,ml\reports\progression_supervised_metrics.csv
training_progression,extra_trees,next_set_weight_kg,next_set_progression,demo_workout_history,438,147,6.175,12.738,,ml\reports\progression_supervised_metrics.csv
training_progression,random_forest,next_set_weight_kg,next_set_progression,demo_workout_history,438,147,6.272,14.196,,ml\reports\progression_supervised_metrics.csv
training_progression,policy_baseline,next_set_weight_kg,next_set_progression,demo_workout_history,438,147,6.999,14.247,,ml\reports\progression_supervised_metrics.csv
feature_ablation,hgb_calendar_lag,occupancy_people,feature_ablation,real_holdout,13269,3328,6.3751,9.4323,0.1452,ml\reports\feature_ablation_metrics.csv
tabular_ml,hist_gradient_boosting,occupancy_people,all_gyms_pooled,real_holdout,13269,3328,6.5723,9.7546,0.1497,ml\reports\ml_experiment_metrics.csv
weather_ablation,hist_gradient_boosting_base_with_weather,occupancy_people,weather_ablation,real_holdout,13269,3328,6.5723,9.7546,0.1497,ml\reports\weather_ablation_metrics.csv
feature_ablation,hgb_calendar_holiday_lag,occupancy_people,feature_ablation,real_holdout,13269,3328,6.5747,9.789,0.1498,ml\reports\feature_ablation_metrics.csv
feature_ablation,hgb_all_features,occupancy_people,feature_ablation,real_holdout,13269,3328,6.5896,9.7668,0.1501,ml\reports\feature_ablation_metrics.csv
synthetic_training_diagnostic,hist_gradient_boosting,occupancy_people,real_only_train_real_holdout,real_holdout,13269,3328,6.5896,9.7668,0.1501,ml\reports\synthetic_training_metrics.csv
weather_ablation,hist_gradient_boosting_base_without_weather,occupancy_people,weather_ablation,real_holdout,13269,3328,6.5896,9.7668,0.1501,ml\reports\weather_ablation_metrics.csv
tabular_ml,random_forest,occupancy_people,all_gyms_pooled,real_holdout,13269,3328,7.1203,10.522,0.1622,ml\reports\ml_experiment_metrics.csv
pytorch_sequence,transformer_sequence_torch,occupancy_people,all_gyms_pooled_sequence,real_holdout,11476,3286,7.5006,11.2579,0.172,ml\reports\deep_learning_metrics.csv
pytorch_sequence,gru_sequence_torch,occupancy_people,all_gyms_pooled_sequence,real_holdout,11476,3286,7.6568,11.3203,0.1756,ml\reports\deep_learning_metrics.csv
feature_ablation,hgb_lag_rolling,occupancy_people,feature_ablation,real_holdout,13269,3328,7.7067,11.6886,0.1756,ml\reports\feature_ablation_metrics.csv
feature_ablation,hgb_lag_only,occupancy_people,feature_ablation,real_holdout,13269,3328,7.7534,11.7877,0.1766,ml\reports\feature_ablation_metrics.csv
synthetic_training_diagnostic,hist_gradient_boosting,occupancy_people,real_plus_synthetic_train_real_holdout,real_holdout,53061,3328,7.7724,12.178,0.1771,ml\reports\synthetic_training_metrics.csv
sklearn_neural_sequence,mlp_sequence_regressor,occupancy_people,all_gyms_pooled_flattened_sequence,real_holdout,13119,3286,8.035,11.7279,0.1843,ml\reports\sequence_neural_metrics.csv
tabular_ml,ridge_regression,occupancy_people,all_gyms_pooled,real_holdout,13269,3328,8.1694,12.5823,0.1861,ml\reports\ml_experiment_metrics.csv
pytorch_sequence,lstm_sequence_torch,occupancy_people,all_gyms_pooled_sequence,real_holdout,11476,3286,8.2176,12.0631,0.1884,ml\reports\deep_learning_metrics.csv
baseline,previous_observation,occupancy_people,real_holdout,real_holdout,,3328,8.3206,13.5099,0.1896,ml\reports\baseline_metrics.csv
feature_ablation,hgb_calendar_rolling,occupancy_people,feature_ablation,real_holdout,13269,3328,8.3731,11.6775,0.1908,ml\reports\feature_ablation_metrics.csv
feature_ablation,hgb_calendar_only,occupancy_people,feature_ablation,real_holdout,13269,3328,10.1653,14.1,0.2316,ml\reports\feature_ablation_metrics.csv
feature_ablation,hgb_calendar_holiday,occupancy_people,feature_ablation,real_holdout,13269,3328,10.3694,14.2421,0.2362,ml\reports\feature_ablation_metrics.csv
baseline,calendar_profile_gym_weekday_hour,occupancy_people,real_holdout,real_holdout,,3328,10.4203,14.4284,0.2374,ml\reports\baseline_metrics.csv
statistical_exogenous,sarimax_1_0_1_exogenous,occupancy_people,selected_gym:gym_008,selected_real_holdout,831,208,11.2694,16.3245,0.1559,ml\reports\sarimax_metrics.csv
feature_ablation,hgb_rolling_only,occupancy_people,feature_ablation,real_holdout,13269,3328,12.4207,17.9005,0.283,ml\reports\feature_ablation_metrics.csv
baseline,rolling_mean_16,occupancy_people,real_holdout,real_holdout,,3328,20.0996,27.6906,0.4579,ml\reports\baseline_metrics.csv
baseline,seasonal_lag_1d,occupancy_people,real_holdout,real_holdout,,3328,24.9534,34.7194,0.5685,ml\reports\baseline_metrics.csv
tabular_ml,arima_2_0_2,occupancy_people,selected_gym:gym_008,real_holdout,831,208,28.0387,37.8481,0.3878,ml\reports\ml_experiment_metrics.csv
